"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Alfalfa + Timothy, for hay (cut 1)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P","Aboveground biomass","Forage","ton","2000","9.80","1.792","0.14","#DIV/0!","2,000","","","","","","","","","","","","","","","","","90.2","90.2","","","","","","","","","","","","","","","","90.20","1.792","1.792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","11.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa + Timothy, for hay (cut 2)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P","Aboveground biomass","Forage","ton","2000","9.00","2.8","0.21","#DIV/0!","2,000","","","","","","","","","","","","","","","","","91","91","","","","","","","","","","","","","","","","91.00","2.8","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","17.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","76.50","3.2061967213","0.27897540984","2.6080327869","2,000","","","","","","","","","","","","","","","","24.4","25.9","23.7","20","","","","","","","","","","","","","","","23.50","3.504","3.008","3.28","","","","","","","","","3.0327868852","","","","","","","","","","","","","","","","","","","","","","0.24590163934","0.28","0.31","0.28","","","","","","","","","","","","","","","","","","","","","2.1721311475","2.1","2.98","3.18","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","18.8","20.5","","","","","","","","","","","","","","","","0.74","0.06","","","","","0.53","","",""
"Alfalfa, for green chop (early bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","76.18","3.3517777778","0.29277777778","2.7177777778","2,000","","","","","","","","","","","","","","","","22.5","23.9","23.7","24","","","","","","","","25","","","","","","","23.82","3.104","3.616","3.6","","","","","","","","","3.2888888889","3.15","","","","","","","","","","","","","","","","","","","","","0.31111111111","0.31","0.27","0.28","","","","","","","","","","","","","","","","","","","","","1.9111111111","1.92","3.4","3.64","","","","","","","","","","","","","","","","","","","75","","","","","","","19.4","22.6","22.5","","","","","","","","","","","","","","","","0.74","0.07","","","","","0.43","","",""
"Alfalfa, for green chop (early bloom, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","76.10","2.952","0.31","3.1","2,000","","","","","","","","","","","","","","","","","24.3","23.5","","","","","","","","","","","","","","","","23.90","2.928","2.976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","18.3","18.6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (early bloom, cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","74.60","2.864","0.38","2.95","2,000","","","","","","","","","","","","","","","","","25.4","","","","","","","","","","","","","","","","","25.40","2.864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","","","","","","","2.95","","","","","","","","17.9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (early bloom, cut 3)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","74.35","3.288","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","23","28.3","","","","","","","","","","","","","","","","25.65","3.52","3.056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","19.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (full bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","75.05","2.7964192035","0.27073947715","2.8909782609","2,000","","","","","","","","","","","","","","","","25.3","24.7","27.9","24","","","","","","","","25","22.8","","","","","","24.95","2.832","3.104","3.072","","","","","","","","2.2456140351","2.9249011858","2.6","","","","","","","","","","","","","","","","","","","","","0.2766798419","0.27","0.24","0.26","","","","0.30701754386","","","","","","","","","","","","","","","","","2.1739130435","2.13","3.63","3.63","","","","","","","","","","","","","","","","","","","75","77.2","","","","","","17.7","19.4","19.2","","","","","","","","","","","","","","","3.2","0.74","0.07","","","","0.07","0.55","","",""
"Alfalfa, for green chop (full bloom, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","75.30","2.528","0.4","2.88","2,000","","","","","","","","","","","","","","","","","24.7","24.7","","","","","","","","","","","","","","","","24.70","2.528","2.528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","2.88","","","","","","","","15.8","15.8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (full bloom, cut 2)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","71.40","2.256","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","26.7","30.5","","","","","","","","","","","","","","","","28.60","2.352","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","13.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (full bloom, cut 3)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","71.20","2.208","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","","28.8","","","","","","","","","","","","","","","","28.80","","2.208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (mid bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","75.08","3.1585802372","0.29166996047","2.7134782609","2,000","","","","","","","","","","","","","","","","25.3","24.2","26.1","24","","","","","","","","25","","","","","","","24.92","3.264","3.472","3.232","","","","","","","","","2.9249011858","2.9","","","","","","","","","","","","","","","","","","","","","0.2766798419","0.28","0.3","0.31","","","","","","","","","","","","","","","","","","","","","2.1739130435","2.06","3.31","3.31","","","","","","","","","","","","","","","","","","","75","","","","","","","20.4","21.7","20.2","","","","","","","","","","","","","","","","0.74","0.07","","","","","0.55","","",""
"Alfalfa, for green chop (mid bloom, cut 1)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","77.90","2.496","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","22.1","","","","","","","","","","","","","","","","","22.10","2.496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (mid bloom, cut 2)","Medicago sativa","MESA","P,K","Aboveground biomass","Forage","ton","2000","76.80","#DIV/0!","0.43","3.25","2,000","","","","","","","","","","","","","","","","","23.2","","","","","","","","","","","","","","","","","23.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","","","","","3.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (pre bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","78.34","3.4871175879","0.34391959799","2.2679522613","2,000","","","","","","","","","","","","","","","","19.9","20.9","22.5","20","","","","","","","","25","","","","","","","21.66","3.392","3.6","3.376","","","","","","","","","3.5175879397","3.55","","","","","","","","","","","","","","","","","","","","","0.35175879397","0.35","","0.33","","","","","","","","","","","","","","","","","","","","","2.3618090452","2.36","2.21","2.14","","","","","","","","","","","","","","","","","","","75","","","","","","","21.2","22.5","21.1","","","","","","","","","","","","","","","","0.7","0.07","","","","","0.47","","",""
"Alfalfa, for green chop (pre bloom, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","82.90","3.488","0.39","3.4","2,000","","","","","","","","","","","","","","","","","17.1","17.1","","","","","","","","","","","","","","","","17.10","3.488","3.488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","","","","","","","","","","","","","","","","","","","","","3.4","","","","","","","","21.8","21.8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (pre bloom, cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","76.95","3.376","0.375","3.39","2,000","","","","","","","","","","","","","","","","","23.1","23","","","","","","","","","","","","","","","","23.05","3.28","3.472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","3.39","","","","","","","","20.5","21.7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for green chop (pre bloom, cut 3)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","76.80","3.92","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","23.2","23.2","","","","","","","","","","","","","","","","23.20","3.92","3.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5","24.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","9.65","2.7887955801","0.26129834254","2.119198895","2,000","","","","","","","","","","","","","","","","90.5","91.4","89.5","90","","","","","","","","","","","","","","","90.35","2.72","2.896","2.832","","","","","","","","","2.7071823204","","","","","","","","","","","","","","","","","","","","","","0.26519337017","0.24","0.28","0.26","","","","","","","","","","","","","","","","","","","","","2.1767955801","2.18","2.07","2.05","","","","","","","","","","","","","","","","","","","","","","","","","","17","18.1","17.7","","","","","","","","","","","","","","","","2.45","0.24","","","","","1.97","","",""
"Alfalfa, for hay (cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","9.90","2.616","0.35","2.48","2,000","","","","","","","","","","","","","","","","","89.4","90.8","","","","","","","","","","","","","","","","90.10","2.304","2.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","0.21","","","","","","","","","","","","","","","","","","","","","","","","2.48","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","18.3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay (cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","9.35","2.856","0.285","1.92","2,000","","","","","","","","","","","","","","","","","89.9","91.4","","","","","","","","","","","","","","","","90.65","2.64","3.072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","0.22","","","","","","","","","","","","","","","","","","","","","","","1.29","2.55","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","19.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay (cut 3)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","10.30","2.968","0.19","2.47","2,000","","","","","","","","","","","","","","","","","89.3","90.1","","","","","","","","","","","","","","","","89.70","2.736","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","0.21","","","","","","","","","","","","","","","","","","","","","","","","2.47","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay (early bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","10.58","3.0544464088","0.22879834254","2.344198895","2,000","","","","","","","","","","","","","","","","90.5","90.1","90.5","91","","","","","","","","85","","","","","","","89.42","3.152","3.184","3.168","","","","","","","","","2.7182320442","3.05","","","","","","","","","","","","","","","","","","","","","0.26519337017","0.21","0.22","0.22","","","","","","","","","","","","","","","","","","","","","2.1767955801","2.08","2.56","2.56","","","","","","","","","","","","","","","","","","","15","","","","","","","19.7","19.9","19.8","","","","","","","","","","","","","","","","2.46","0.24","","","","","1.97","","",""
"Alfalfa, for hay (early bloom, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","9.30","2.736","0.255","2.465","2,000","","","","","","","","","","","","","","","","","90.2","91.2","","","","","","","","","","","","","","","","90.70","2.448","3.024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","0.24","","","","","","","","","","","","","","","","","","","","","","","2.49","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3","18.9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay (early bloom, cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","12.00","3.168","0.255","2.54","2,000","","","","","","","","","","","","","","","","","87","89","","","","","","","","","","","","","","","","88.00","3.328","3.008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","0.25","","","","","","","","","","","","","","","","","","","","","","","2.64","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","18.8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfalfa, for hay (early bloom, cut 3)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","12.95","3.248","0.27","2.84","2,000","","","","","","","","","","","","","","","","","85.9","88.2","","","","","","","","","","","","","","","","87.05","3.36","3.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","0.23","","","","","","","","","","","","","","","","","","","","","","","2.71","2.97","","","","","","","","","","","","","","","","","","","","","","","","","","","21","19.6","","","","","","","","","","","","","","","","","","","","","","","","","",""
